data-unique-id,header_text
0,"Developmental Timeline;Gametogenesis;Developmental Period : Week 1 & 2;Developmental Period : Week 3 & 4;Ectoderm and Neural Crest Cells Derivatives;Mesoderm Derivatives;Endoderm Derivatives;Placenta Formation;Germ Layer Derivatives"
1,"Body Tubes;Epithelial Tissue;Glands;Connective Tissue;Cartilage Tissue;Lymphoid Tissue;Integumentary System;Cell Junctions;Muscular System;Respiratory System;Digestive System;Urinary System;Genital System"
2,"Osteology;Arthrology"
3,"Organisation of Nervous System;Development of Nervous System Part-1;Development of Nervous System Part-2;Development of Nervous System Part-3;Third Ventricle;Fourth Ventricle;White Matter (Types of Fibres);Neural Columns;Cerebrum;Basal Ganglia;Internal Capsule;Thalamus and Hypothalamus;Brainstem and Cranial Nerve Nuclei;Neural Columns and Brainstem Nuclei;Cerebellum;Spinal Cord;Autonomic Nervous System;Arterial Supply of Brain;Brainstem Lesions;Venous Drainage of Cranial Cavity"
4,"Development of Skull;Scalenus Anterior Muscle: Relations;Scalp;Facial Nerve;Neck Fascia and Spaces;Neck Triangles;Head and Neck: Arterial Supply;Head and Neck: Venous Drainage;Head and Neck: Lymphatic Drainage;Parotid Gland;Glossopharyngeal Nerve;Vagus Nerve;Oesophagus;Cervical Plexus;Vertebral Landmarks;Cranial Cavity (Introduction);Cranial Cavity -II (Cranial Fossae and Related Foramina);Cranial Cavity-III (middle Cranial Fossa);Cranial Cavity -IV (Posterior Cranial Fossa);Cavernous Sinus;Cranial Nerve: 3, 4 and 6;Trigeminal Nerve;Pharyngeal Arches;Pharyngeal Arch Arteries;Pharyngeal Pouches & Clefts;Pharynx;Nose;Larynx;Tongue Development;Hypoglossal Nerve;Ear;Eyeball;Neck Fascia and Spaces : Revision"
5,"Spinal Cord Termination;Spinal Cord: Enlargements and Spaces;Vertebrae;Lumbar Puncture;Vertebral Curvatures and Slip Disc;Cranio-Vertebral Joints;Vertebral Landmarks and Triangles"
6,"Development: Cardiovascular System;Development: Embryonic Veins;Development: Heart Tube;Development: Transverse Pericardial Sinus;Development: Interatrial Septum;Development: AP Septum Formation and Anomalies;Development: Fetoplacental Circulation;Heart: Surfaces and Grooves;Heart: Venous Drainage;Heart: Interior Features;Heart: Arterial Supply;Sternal Angle and Mediastinum;Lungs: Hilum;Lungs: Bronchopulmonary Segments;Lungs: Pleura - Surface Markings;Joints;Respiratory Movements;Intercostal Drainage and Block;Phrenic Nerve;Venous Drainage;Lymphatic Drainage"
7,"Nerve Supply (Overview);Upper Limb : Embryology;Brachial Plexus Part - 1 (Trunks);Brachial Plexus Part-2 (Cords);Clavipectoral Fascia;Dermatomes and Myotomes;Bones and Muscles (Proximal Region);Axilla;Hand Spaces;Scapular Movements;Carpal and Metacarpal Bones;Cubital Fossa;Muscles of Anterior Forearm Region;Muscles of Hand;Anatomical Snuff Box;Upper Limb : Arterial Supply;Median Nerve Lesions;Nerve Lesions : Comparative Analysis;Nerve Supply of Anterior Forearm and Hand Muscles;Posterior Forearm Muscles;Radial Nerve Lesions;Ulnar Nerve Lesions;Upper Limb : Venous Drainage;Upper Limb : Lymphatic Drainage;Muscles of Anterior Arm Region"
8,"Umbilical Cord Contents and Anomalies;Diaphragm: Development and Openings;Development of Mesentery and Pancreas;Gut Rotation;Abdominal Planes;Neurovascular Bundles;Liver;Inguinal Region and Femoral Region;Abdominal Wall Layers;Inguinal Canal and Spermatic Cord;Inguinal and Femoral Region and Associated Herniae;Peritoneal Cavity: Sacs and Spaces;Stomach;Abdomen: Arterial Supply;Small Intestine: Duodenum;Small Intestine: Jejunum and Ileum;Small Intestine : Biliary Apparatus;Large Intestine;Pancreas;Kidney;Ureter;Venous Drainage of Abdomen and Thorax"
9,"Development of Genito-Urinary System;Pelvis and Perineum;Perineal Pouches and Ischiorectal Fossa;Perineal Pouches-II;Prostate Gland and Parts of Male Urethra;Pelvic Diaphragm;Extravasation of Urine;Pudendal Nerve;Pelvis & Perineum: Arterial Supply;Pelvis & Perineum: Nerve Supply;Female Reproductive System;Rectum and Anal Canal"
10,"Nerve Supply - Overview;Muscles of Proximal Region (hip and Knee Joints);Nerve Supply Thigh Muscles;Movements and Associated Muscles: Hip and Knee Joints;Muscles of Gluteal Region;Hybrid Muscles;Popliteus;Knee Joint;Adductor Canal;Popliteal Fossa;Leg Muscles;Leg and Foot Region: Nerve Supply;Plantar Arches;Flexor Retinaculum;Sole Muscles;Lower Limb : Arterial Supply;Lower Limb : Venous Drainage"